distance_to_obstacle,obstacle_width,obstacle_height,game_speed,action
467,25,50,6.63,False
462,25,50,6.63,False
457,25,50,6.63,False
453,25,50,6.63,False
448,25,50,6.63,False
443,25,50,6.63,False
438,25,50,6.63,False
433,25,50,6.63,False
428,25,50,6.63,False
424,25,50,6.63,False
418,25,50,6.64,False
414,25,50,6.64,False
408,25,50,6.64,False
404,25,50,6.64,False
399,25,50,6.64,False
394,25,50,6.64,False
389,25,50,6.64,False
384,25,50,6.64,False
379,25,50,6.64,False
374,25,50,6.64,False
369,25,50,6.65,False
364,25,50,6.65,False
359,25,50,6.65,False
355,25,50,6.65,False
350,25,50,6.65,False
345,25,50,6.65,False
340,25,50,6.65,False
335,25,50,6.65,False
331,25,50,6.65,False
326,25,50,6.65,False
321,25,50,6.66,False
316,25,50,6.66,False
312,25,50,6.66,False
306,25,50,6.66,False
302,25,50,6.66,False
297,25,50,6.66,False
292,25,50,6.66,False
287,25,50,6.66,False
282,25,50,6.66,False
278,25,50,6.66,False
273,25,50,6.67,False
268,25,50,6.67,False
263,25,50,6.67,False
258,25,50,6.67,False
253,25,50,6.67,False
248,25,50,6.67,False
243,25,50,6.67,False
238,25,50,6.67,False
233,25,50,6.67,False
228,25,50,6.67,False
224,25,50,6.68,False
219,25,50,6.68,False
214,25,50,6.68,False
209,25,50,6.68,False
205,25,50,6.68,False
200,25,50,6.68,False
195,25,50,6.68,False
190,25,50,6.68,False
185,25,50,6.68,False
180,25,50,6.68,False
176,25,50,6.69,False
170,25,50,6.69,False
166,25,50,6.69,False
161,25,50,6.69,False
155,25,50,6.69,False
151,25,50,6.69,False
145,25,50,6.69,False
140,25,50,6.69,False
136,25,50,6.69,False
131,25,50,6.69,False
126,25,50,6.7,False
121,25,50,6.7,False
116,25,50,6.7,False
111,25,50,6.7,False
106,25,50,6.7,False
101,25,50,6.7,False
96,25,50,6.7,False
91,25,50,6.7,False
87,25,50,6.7,False
87,25,50,6.7,True
505,25,50,6.75,False
501,25,50,6.75,False
496,25,50,6.75,False
491,25,50,6.75,False
486,25,50,6.75,False
481,25,50,6.75,False
477,25,50,6.75,False
472,25,50,6.75,False
467,25,50,6.75,False
462,25,50,6.76,False
457,25,50,6.76,False
452,25,50,6.76,False
447,25,50,6.76,False
442,25,50,6.76,False
437,25,50,6.76,False
432,25,50,6.76,False
427,25,50,6.76,False
422,25,50,6.76,False
416,25,50,6.76,False
411,25,50,6.77,False
406,25,50,6.77,False
401,25,50,6.77,False
396,25,50,6.77,False
391,25,50,6.77,False
386,25,50,6.77,False
381,25,50,6.77,False
376,25,50,6.77,False
371,25,50,6.77,False
366,25,50,6.77,False
361,25,50,6.78,False
356,25,50,6.78,False
351,25,50,6.78,False
347,25,50,6.78,False
342,25,50,6.78,False
338,25,50,6.78,False
332,25,50,6.78,False
327,25,50,6.78,False
323,25,50,6.78,False
317,25,50,6.78,False
312,25,50,6.79,False
307,25,50,6.79,False
303,25,50,6.79,False
297,25,50,6.79,False
293,25,50,6.79,False
288,25,50,6.79,False
283,25,50,6.79,False
278,25,50,6.79,False
273,25,50,6.79,False
268,25,50,6.79,False
263,25,50,6.8,False
258,25,50,6.8,False
254,25,50,6.8,False
248,25,50,6.8,False
244,25,50,6.8,False
239,25,50,6.8,False
234,25,50,6.8,False
229,25,50,6.8,False
223,25,50,6.8,False
219,25,50,6.8,False
214,25,50,6.81,False
209,25,50,6.81,False
205,25,50,6.81,False
199,25,50,6.81,False
195,25,50,6.81,False
189,25,50,6.81,False
185,25,50,6.81,False
179,25,50,6.81,False
175,25,50,6.81,False
170,25,50,6.81,False
166,25,50,6.82,False
160,25,50,6.82,False
156,25,50,6.82,False
151,25,50,6.82,False
146,25,50,6.82,False
141,25,50,6.82,False
136,25,50,6.82,False
132,25,50,6.82,False
126,25,50,6.82,False
121,25,50,6.82,False
121,25,50,6.83,True
259,25,50,6.87,False
254,25,50,6.87,False
249,25,50,6.87,False
245,25,50,6.87,False
239,25,50,6.87,False
234,25,50,6.87,False
230,25,50,6.87,False
225,25,50,6.87,False
220,25,50,6.88,False
215,25,50,6.88,False
210,25,50,6.88,False
206,25,50,6.88,False
201,25,50,6.88,False
196,25,50,6.88,False
190,25,50,6.88,False
186,25,50,6.88,False
181,25,50,6.88,False
176,25,50,6.88,False
171,25,50,6.89,False
166,25,50,6.89,False
161,25,50,6.89,False
156,25,50,6.89,False
151,25,50,6.89,False
146,25,50,6.89,False
141,25,50,6.89,False
141,25,50,6.89,True
132,25,50,6.93,False
127,25,50,6.94,False
122,25,50,6.94,False
117,25,50,6.94,False
112,25,50,6.94,False
107,25,50,6.94,False
102,25,50,6.94,False
102,25,50,6.94,True
493,25,50,6.98,False
488,25,50,6.98,False
483,25,50,6.99,False
476,25,50,6.99,False
473,25,50,6.99,False
467,25,50,6.99,False
462,25,50,6.99,False
457,25,50,6.99,False
452,25,50,6.99,False
447,25,50,6.99,False
442,25,50,6.99,False
437,25,50,6.99,False
432,25,50,7.0,False
427,25,50,7.0,False
421,25,50,7.0,False
416,25,50,7.0,False
411,25,50,7.0,False
406,25,50,7.0,False
401,25,50,7.0,False
396,25,50,7.0,False
391,25,50,7.0,False
387,25,50,7.0,False
381,25,50,7.01,False
376,25,50,7.01,False
371,25,50,7.01,False
366,25,50,7.01,False
361,25,50,7.01,False
355,25,50,7.01,False
350,25,50,7.01,False
345,25,50,7.01,False
340,25,50,7.01,False
334,25,50,7.01,False
330,25,50,7.02,False
324,25,50,7.02,False
319,25,50,7.02,False
314,25,50,7.02,False
309,25,50,7.02,False
303,25,50,7.02,False
297,25,50,7.02,False
293,25,50,7.02,False
287,25,50,7.02,False
281,25,50,7.02,False
277,25,50,7.03,False
272,25,50,7.03,False
266,25,50,7.03,False
261,25,50,7.03,False
257,25,50,7.03,False
252,25,50,7.03,False
246,25,50,7.03,False
241,25,50,7.03,False
236,25,50,7.03,False
230,25,50,7.03,False
225,25,50,7.04,False
220,25,50,7.04,False
215,25,50,7.04,False
210,25,50,7.04,False
204,25,50,7.04,False
199,25,50,7.04,False
194,25,50,7.04,False
189,25,50,7.04,False
185,25,50,7.04,False
179,25,50,7.04,False
175,25,50,7.05,False
170,25,50,7.05,False
165,25,50,7.05,False
160,25,50,7.05,False
154,25,50,7.05,False
149,25,50,7.05,False
144,25,50,7.05,False
139,25,50,7.05,False
135,25,50,7.05,False
129,25,50,7.05,False
547,17,35,6.23,False
542,17,35,6.23,False
538,17,35,6.23,False
533,17,35,6.23,False
528,17,35,6.23,False
524,17,35,6.24,False
519,17,35,6.24,False
515,17,35,6.24,False
510,17,35,6.24,False
506,17,35,6.24,False
501,17,35,6.24,False
497,17,35,6.24,False
492,17,35,6.24,False
488,17,35,6.24,False
483,17,35,6.24,False
478,17,35,6.25,False
473,17,35,6.25,False
468,17,35,6.25,False
464,17,35,6.25,False
460,17,35,6.25,False
456,17,35,6.25,False
451,17,35,6.25,False
446,17,35,6.25,False
442,17,35,6.25,False
437,17,35,6.25,False
433,17,35,6.26,False
428,17,35,6.26,False
424,17,35,6.26,False
420,17,35,6.26,False
415,17,35,6.26,False
411,17,35,6.26,False
407,17,35,6.26,False
403,17,35,6.26,False
398,17,35,6.26,False
394,17,35,6.26,False
389,17,35,6.27,False
385,17,35,6.27,False
380,17,35,6.27,False
376,17,35,6.27,False
370,17,35,6.27,False
367,17,35,6.27,False
362,17,35,6.27,False
358,17,35,6.27,False
354,17,35,6.27,False
349,17,35,6.27,False
345,17,35,6.28,False
341,17,35,6.28,False
336,17,35,6.28,False
331,17,35,6.28,False
327,17,35,6.28,False
322,17,35,6.28,False
318,17,35,6.28,False
314,17,35,6.28,False
309,17,35,6.28,False
305,17,35,6.28,False
300,17,35,6.29,False
296,17,35,6.29,False
292,17,35,6.29,False
287,17,35,6.29,False
282,17,35,6.29,False
278,17,35,6.29,False
273,17,35,6.29,False
268,17,35,6.29,False
264,17,35,6.29,False
259,17,35,6.29,False
255,17,35,6.3,False
250,17,35,6.3,False
246,17,35,6.3,False
241,17,35,6.3,False
237,17,35,6.3,False
233,17,35,6.3,False
228,17,35,6.3,False
224,17,35,6.3,False
220,17,35,6.3,False
216,17,35,6.3,False
211,17,35,6.31,False
207,17,35,6.31,False
203,17,35,6.31,False
198,17,35,6.31,False
193,17,35,6.31,False
189,17,35,6.31,False
184,17,35,6.31,False
180,17,35,6.31,False
176,17,35,6.31,False
171,17,35,6.31,False
166,17,35,6.32,False
162,17,35,6.32,False
157,17,35,6.32,False
153,17,35,6.32,False
