distance_to_obstacle,obstacle_width,obstacle_height,game_speed,action,prediction
36,17,35,6.499000000000167,,Do_Nothing
31,17,35,6.500000000000167,,Do_Nothing
24,17,35,6.501000000000167,,Do_Nothing
19,17,35,6.502000000000168,,Do_Nothing
13,17,35,6.503000000000168,,Do_Nothing
7,17,35,6.504000000000168,,Do_Nothing
2,17,35,6.505000000000169,,Do_Nothing
-4,17,35,6.506000000000169,,Jump
-10,17,35,6.507000000000169,,Jump
-17,17,35,6.50800000000017,,Jump
-23,17,35,6.50900000000017,,Jump
-29,17,35,6.51000000000017,,Jump
-34,17,35,6.511000000000171,,Jump
562,17,35,6.512000000000171,,Do_Nothing
556,17,35,6.513000000000171,,Do_Nothing
550,17,35,6.514000000000172,,Do_Nothing
543,17,35,6.515000000000172,,Do_Nothing
537,17,35,6.516000000000172,,Do_Nothing
532,17,35,6.517000000000173,,Do_Nothing
525,17,35,6.518000000000173,,Do_Nothing
519,17,35,6.519000000000173,,Do_Nothing
514,17,35,6.520000000000174,,Do_Nothing
507,17,35,6.521000000000174,,Do_Nothing
502,17,35,6.522000000000174,,Do_Nothing
496,17,35,6.523000000000175,,Do_Nothing
489,17,35,6.524000000000175,,Do_Nothing
483,17,35,6.525000000000175,,Do_Nothing
477,17,35,6.526000000000176,,Do_Nothing
471,17,35,6.527000000000176,,Do_Nothing
465,17,35,6.528000000000176,,Do_Nothing
459,17,35,6.529000000000177,,Do_Nothing
454,17,35,6.530000000000177,,Do_Nothing
447,17,35,6.531000000000177,,Do_Nothing
442,17,35,6.532000000000178,,Do_Nothing
435,17,35,6.533000000000178,,Do_Nothing
429,17,35,6.534000000000178,,Do_Nothing
423,17,35,6.535000000000179,,Do_Nothing
417,17,35,6.536000000000179,,Do_Nothing
411,17,35,6.537000000000179,,Do_Nothing
406,17,35,6.53800000000018,,Do_Nothing
400,17,35,6.53900000000018,,Do_Nothing
393,17,35,6.54000000000018,,Do_Nothing
388,17,35,6.541000000000181,,Do_Nothing
381,17,35,6.542000000000181,,Do_Nothing
375,17,35,6.543000000000181,,Do_Nothing
369,17,35,6.544000000000182,,Do_Nothing
364,17,35,6.545000000000182,,Do_Nothing
357,17,35,6.546000000000182,,Do_Nothing
351,17,35,6.547000000000183,,Do_Nothing
345,17,35,6.548000000000183,,Do_Nothing
339,17,35,6.549000000000183,,Do_Nothing
333,17,35,6.550000000000184,,Do_Nothing
326,17,35,6.551000000000184,,Do_Nothing
321,17,35,6.552000000000184,,Do_Nothing
314,17,35,6.553000000000185,,Do_Nothing
309,17,35,6.554000000000185,,Do_Nothing
303,17,35,6.555000000000185,,Do_Nothing
298,17,35,6.556000000000186,,Do_Nothing
291,17,35,6.557000000000186,,Do_Nothing
286,17,35,6.558000000000186,,Do_Nothing
280,17,35,6.559000000000187,,Do_Nothing
274,17,35,6.560000000000187,,Do_Nothing
269,17,35,6.561000000000187,,Do_Nothing
261,17,35,6.562000000000188,,Do_Nothing
255,17,35,6.563000000000188,,Do_Nothing
249,17,35,6.564000000000188,,Do_Nothing
243,17,35,6.565000000000189,,Do_Nothing
237,17,35,6.566000000000189,,Do_Nothing
231,17,35,6.567000000000189,,Do_Nothing
224,17,35,6.56800000000019,,Do_Nothing
218,17,35,6.56900000000019,,Do_Nothing
212,17,35,6.57000000000019,,Do_Nothing
206,17,35,6.571000000000191,,Do_Nothing
199,17,35,6.572000000000191,,Do_Nothing
194,17,35,6.573000000000191,,Do_Nothing
187,17,35,6.574000000000192,,Do_Nothing
181,17,35,6.575000000000192,,Do_Nothing
176,17,35,6.576000000000192,,Do_Nothing
170,17,35,6.577000000000193,,Do_Nothing
163,17,35,6.578000000000193,,Do_Nothing
157,17,35,6.579000000000193,,Do_Nothing
151,17,35,6.580000000000194,,Do_Nothing
146,17,35,6.581000000000194,,Do_Nothing
139,17,35,6.582000000000194,,Do_Nothing
133,17,35,6.583000000000195,,Do_Nothing
127,17,35,6.584000000000195,,Do_Nothing
122,17,35,6.585000000000195,,Do_Nothing
116,17,35,6.586000000000196,,Do_Nothing
110,17,35,6.587000000000196,,Do_Nothing
104,17,35,6.588000000000196,,Do_Nothing
97,17,35,6.589000000000197,,Do_Nothing
92,17,35,6.590000000000197,,Do_Nothing
87,17,35,6.591000000000197,,Do_Nothing
81,17,35,6.592000000000198,,Do_Nothing
74,17,35,6.593000000000198,,Do_Nothing
69,17,35,6.594000000000198,,Do_Nothing
63,17,35,6.595000000000199,,Do_Nothing
57,17,35,6.596000000000199,,Do_Nothing
51,17,35,6.597000000000199,,Do_Nothing
45,17,35,6.5980000000002,,Do_Nothing
38,17,35,6.5990000000002,,Do_Nothing
33,17,35,6.6000000000002,,Do_Nothing
27,17,35,6.601000000000201,,Do_Nothing
20,17,35,6.602000000000201,,Do_Nothing
14,17,35,6.603000000000201,,Do_Nothing
8,17,35,6.604000000000202,,Do_Nothing
2,17,35,6.605000000000202,,Do_Nothing
-5,17,35,6.606000000000202,,Jump
-11,17,35,6.607000000000203,,Jump
-17,17,35,6.608000000000203,,Jump
-22,17,35,6.609000000000203,,Jump
-29,17,35,6.610000000000204,,Jump
-35,17,35,6.611000000000204,,Jump
229,17,35,6.612000000000204,,Do_Nothing
223,17,35,6.613000000000205,,Do_Nothing
217,17,35,6.614000000000205,,Do_Nothing
211,17,35,6.615000000000205,,Do_Nothing
205,17,35,6.616000000000206,,Do_Nothing
198,17,35,6.617000000000206,,Do_Nothing
192,17,35,6.618000000000206,,Do_Nothing
186,17,35,6.619000000000207,,Do_Nothing
181,17,35,6.620000000000207,,Do_Nothing
174,17,35,6.621000000000207,,Do_Nothing
168,17,35,6.622000000000208,,Do_Nothing
162,17,35,6.623000000000208,,Do_Nothing
156,17,35,6.624000000000208,,Do_Nothing
150,17,35,6.625000000000209,,Do_Nothing
145,17,35,6.626000000000209,,Do_Nothing
138,17,35,6.627000000000209,,Do_Nothing
133,17,35,6.62800000000021,,Do_Nothing
126,17,35,6.62900000000021,,Do_Nothing
120,17,35,6.63000000000021,,Do_Nothing
114,17,35,6.631000000000211,,Do_Nothing
107,17,35,6.632000000000211,,Do_Nothing
101,17,35,6.633000000000211,,Do_Nothing
