,distance_to_obstacle,obstacle_width,obstacle_height,game_speed,action
259,227,17,35,6.494000000000165,False
260,222,17,35,6.495000000000165,False
261,216,17,35,6.496000000000166,False
262,209,17,35,6.497000000000166,False
263,204,17,35,6.498000000000166,False
264,198,17,35,6.499000000000167,False
265,192,17,35,6.500000000000167,False
266,186,17,35,6.501000000000167,False
267,181,17,35,6.502000000000168,False
268,175,17,35,6.503000000000168,False
269,169,17,35,6.504000000000168,False
270,163,17,35,6.505000000000169,False
271,157,17,35,6.506000000000169,False
272,152,17,35,6.507000000000169,False
273,144,17,35,6.50800000000017,False
274,139,17,35,6.50900000000017,False
275,133,17,35,6.51000000000017,False
276,127,17,35,6.511000000000171,False
277,121,17,35,6.512000000000171,False
278,115,17,35,6.513000000000171,False
279,109,17,35,6.514000000000172,False
280,103,17,35,6.515000000000172,False
281,96,17,35,6.516000000000172,False
282,90,17,35,6.517000000000173,False
283,84,17,35,6.518000000000173,False
284,79,17,35,6.519000000000173,False
285,72,17,35,6.520000000000174,False
286,67,17,35,6.521000000000174,False
287,61,17,35,6.522000000000174,False
288,55,17,35,6.523000000000175,True
289,48,17,35,6.524000000000175,True
290,43,17,35,6.525000000000175,True
291,36,17,35,6.526000000000176,True
292,30,17,35,6.527000000000176,True
293,24,17,35,6.528000000000176,True
294,17,17,35,6.529000000000177,True
295,12,17,35,6.530000000000177,True
296,5,17,35,6.531000000000177,True
297,-1,17,35,6.532000000000178,True
298,-8,17,35,6.533000000000178,True
299,-14,17,35,6.534000000000178,True
300,-20,17,35,6.535000000000179,True
301,-26,17,35,6.536000000000179,True
302,-31,17,35,6.537000000000179,True
303,-38,17,35,6.53800000000018,True
304,-43,17,35,6.53900000000018,True
305,-50,17,35,6.54000000000018,True
306,504,25,50,6.541000000000181,True
307,498,25,50,6.542000000000181,True
308,492,25,50,6.543000000000181,True
309,486,25,50,6.544000000000182,True
310,480,25,50,6.545000000000182,True
311,475,25,50,6.546000000000182,True
312,469,25,50,6.547000000000183,True
313,462,25,50,6.548000000000183,True
314,456,25,50,6.549000000000183,True
315,450,25,50,6.550000000000184,True
316,444,25,50,6.551000000000184,True
317,438,25,50,6.552000000000184,True
318,432,25,50,6.553000000000185,True
319,426,25,50,6.554000000000185,True
320,420,25,50,6.555000000000185,True
321,413,25,50,6.556000000000186,False
322,408,25,50,6.557000000000186,False
323,401,25,50,6.558000000000186,False
324,396,25,50,6.559000000000187,False
325,389,25,50,6.560000000000187,False
326,383,25,50,6.561000000000187,False
327,377,25,50,6.562000000000188,False
328,372,25,50,6.563000000000188,False
329,365,25,50,6.564000000000188,False
330,359,25,50,6.565000000000189,False
331,353,25,50,6.566000000000189,False
332,346,25,50,6.567000000000189,False
333,340,25,50,6.56800000000019,False
334,334,25,50,6.56900000000019,False
335,328,25,50,6.57000000000019,False
336,323,25,50,6.571000000000191,False
337,317,25,50,6.572000000000191,False
338,309,25,50,6.573000000000191,False
339,303,25,50,6.574000000000192,False
340,297,25,50,6.575000000000192,False
341,291,25,50,6.576000000000192,False
342,286,25,50,6.577000000000193,False
343,279,25,50,6.578000000000193,False
344,273,25,50,6.579000000000193,False
345,267,25,50,6.580000000000194,False
346,261,25,50,6.581000000000194,False
347,255,25,50,6.582000000000194,False
348,249,25,50,6.583000000000195,False
349,243,25,50,6.584000000000195,False
350,237,25,50,6.585000000000195,False
351,230,25,50,6.586000000000196,False
352,224,25,50,6.587000000000196,False
353,218,25,50,6.588000000000196,False
354,211,25,50,6.589000000000197,False
355,206,25,50,6.590000000000197,False
356,200,25,50,6.591000000000197,False
357,193,25,50,6.592000000000198,False
358,187,25,50,6.593000000000198,False
359,180,25,50,6.594000000000198,False
360,174,25,50,6.595000000000199,False
361,168,25,50,6.596000000000199,False
362,162,25,50,6.597000000000199,False
363,156,25,50,6.5980000000002,False
364,150,25,50,6.5990000000002,False
365,144,25,50,6.6000000000002,False
366,138,25,50,6.601000000000201,False
367,131,25,50,6.602000000000201,False
368,125,25,50,6.603000000000201,False
369,119,25,50,6.604000000000202,False
370,113,25,50,6.605000000000202,False
371,107,25,50,6.606000000000202,False
372,102,25,50,6.607000000000203,False
373,95,25,50,6.608000000000203,False
374,89,25,50,6.609000000000203,False
375,83,25,50,6.610000000000204,False
376,76,25,50,6.611000000000204,True
377,71,25,50,6.612000000000204,True
378,64,25,50,6.613000000000205,True
379,58,25,50,6.614000000000205,True
380,52,25,50,6.615000000000205,True
381,46,25,50,6.616000000000206,True
382,40,25,50,6.617000000000206,True
383,35,25,50,6.618000000000206,True
384,29,25,50,6.619000000000207,True
385,22,25,50,6.620000000000207,True
386,16,25,50,6.621000000000207,True
387,10,25,50,6.622000000000208,True
388,4,25,50,6.623000000000208,True
389,-2,25,50,6.624000000000208,True
390,-8,25,50,6.625000000000209,True
